OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE
3402412,T20130015347,ABS to receive accident,Finished,18/07/2013,08.00.00,No,Collision with vehicle,Thursday,RIGHT REAR.,No,Day,No,Cross intersection,Other injury accident,60 km/hr,No,44768,145.11512,-37.7141
3402413,T20130015350,ABS to receive accident,Finished,25/07/2013,09.50.00,No,collision with some other object,Thursday,LOAD OR MISSILE STRUCK VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,No,262158,144.54688,-37.47888
3402414,T20130015354,ABS to receive accident,Finished,25/07/2013,11.58.00,No,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,T intersection,Serious injury accident,60 km/hr,Yes,41036,145.28529,-37.86825
3402415,T20130015355,ABS to receive accident,Finished,24/07/2013,14.30.00,No,Struck Pedestrian,Wednesday,PED WALKING WITH TRAFFIC,No,Day,No,Not at intersection,Other injury accident,60 km/hr,No,265404,145.02588,-37.88036
3402416,T20130015359,ABS to receive accident,Finished,24/07/2013,17.15.00,No,Collision with a fixed object,Wednesday,OFF END OF ROAD/T-INTERSECTION.,No,Dark No street lights,Yes,T intersection,Serious injury accident,80 km/hr,No,71191,145.15475,-38.05305
3402417,T20130015363,ABS to receive accident,Finished,25/07/2013,13.35.00,No,Collision with vehicle,Thursday,RIGHT THROUGH,No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,No,262337,145.12445,-37.78428
3402418,T20130015364,ABS to receive accident,Finished,25/07/2013,15.00.00,No,Collision with vehicle,Thursday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,45407,144.92573,-37.75379
3402419,T20130015365,ABS to receive accident,Finished,24/07/2013,06.15.00,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,No,263646,145.18626,-37.9306
3402420,T20130015216,ABS to receive accident,Finished,23/07/2013,16.15.00,No,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,Yes,262248,144.8984,-37.68627
3402421,T20130015218,ABS to receive accident,Finished,23/07/2013,15.51.00,No,Struck Pedestrian,Tuesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Not at intersection,Serious injury accident,40 km/hr,No,262249,144.91614,-37.72519
3402422,T20130015220,ABS to receive accident,Finished,23/07/2013,14.50.00,No,Collision with vehicle,Tuesday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,No,Day,No,Not at intersection,Other injury accident,60 km/hr,No,262279,144.99921,-37.92557
3402423,T20130015221,ABS to receive accident,Finished,23/07/2013,16.00.00,No,Collision with vehicle,Tuesday,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),No,Dusk/Dawn,Yes,Not at intersection,Other injury accident,100 km/hr,No,262874,145.09097,-37.88323
3402424,T20130015222,ABS to receive accident,Finished,23/07/2013,16.20.00,No,Collision with vehicle,Tuesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,50496,143.68229,-37.64833
3402425,T20130015225,ABS to receive accident,Finished,23/07/2013,17.13.00,No,Collision with vehicle,Tuesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Fatal accident,80 km/hr,No,52540,142.14075,-34.22777
3402426,T20130015227,ABS to receive accident,Finished,23/07/2013,17.00.00,No,Collision with vehicle,Tuesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Dusk/Dawn,Yes,T intersection,Other injury accident,50 km/hr,No,262054,145.04269,-37.87479
3402427,T20130015230,ABS to receive accident,Finished,23/07/2013,20.00.00,Yes,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Dark Street lights on,Yes,T intersection,Other injury accident,70 km/hr,No,29565,145.13062,-37.8189
3402428,T20130015232,ABS to receive accident,Finished,23/07/2013,18.15.00,Yes,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Dark Street lights on,Yes,Cross intersection,Serious injury accident,60 km/hr,No,51916,144.31616,-36.70516
3402429,T20130015234,ABS to receive accident,Finished,23/07/2013,22.40.00,Yes,Collision with vehicle,Tuesday,RIGHT NEAR (INTERSECTIONS ONLY),Yes,Dark Street lights unknown,Yes,T intersection,Other injury accident,50 km/hr,No,44438,144.33694,-38.13777
3402430,T20130015237,ABS to receive accident,Finished,23/07/2013,12.55.00,No,Collision with a fixed object,Tuesday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Unk.,Yes,Not at intersection,Other injury accident,80 km/hr,Yes,263139,145.08524,-37.89233
3402431,T20130015239,ABS to receive accident,Finished,24/07/2013,00.24.00,Yes,Vehicle overturned (no collision),Wednesday,OFF CARRIAGEWAY TO LEFT,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,80 km/hr,Yes,262156,145.19105,-38.24973
3402432,T20130015241,ABS to receive accident,Finished,21/07/2013,18.38.00,Yes,Collision with vehicle,Sunday,RIGHT REAR.,No,Dark Street lights on,Yes,T intersection,Other injury accident,60 km/hr,No,74136,145.59171,-38.59433
3402433,T20130015243,ABS to receive accident,Finished,24/07/2013,04.00.00,Yes,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Cross intersection,Serious injury accident,100 km/hr,Yes,50267,144.54192,-38.22608
3402434,T20130015245,ABS to receive accident,Finished,24/07/2013,05.30.00,Yes,Struck animal,Wednesday,STRUCK ANIMAL,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,No,262100,145.39923,-38.14297
3402435,T20130015251,ABS to receive accident,Finished,24/07/2013,08.30.00,No,Collision with vehicle,Wednesday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,No,262056,144.95111,-37.81994
3402436,T20130015252,ABS to receive accident,Finished,21/07/2013,11.00.00,No,Collision with vehicle,Sunday,CROSS TRAFFIC(INTERSECTIONS ONLY),Yes,Day,No,Cross intersection,Other injury accident,60 km/hr,No,64118,145.02615,-37.77324
3402437,T20130015253,ABS to receive accident,Finished,23/07/2013,19.05.00,Yes,Struck Pedestrian,Tuesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,40 km/hr,No,262055,145.16327,-37.87834
3402438,T20130015257,ABS to receive accident,Finished,24/07/2013,07.50.00,No,Collision with vehicle,Wednesday,OTHER ADJACENT (INTERSECTIONS ONLY),No,Day,No,Multiple intersection,Other injury accident,60 km/hr,No,264433,144.82261,-37.7809
3402439,T20130015269,ABS to receive accident,Finished,23/07/2013,06.50.00,No,Struck Pedestrian,Tuesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,60 km/hr,No,262099,144.83069,-37.7884
3402440,T20130015270,ABS to receive accident,Finished,23/07/2013,10.30.00,No,No collision and no object struck,Tuesday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,No,T intersection,Other injury accident,50 km/hr,No,41761,145.14662,-37.91049
3402441,T20130015272,ABS to receive accident,Finished,24/07/2013,08.00.00,No,Collision with vehicle,Wednesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,42642,144.95681,-37.7332
3402442,T20130015273,ABS to receive accident,Finished,10/07/2013,05.40.00,Yes,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,No,Cross intersection,Other injury accident,100 km/hr,No,900,145.1945,-38.0722
3402443,T20130015275,ABS to receive accident,Finished,24/07/2013,12.51.00,No,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,Yes,264697,145.08147,-37.82406
3402444,T20130015278,ABS to receive accident,Finished,24/07/2013,12.00.00,No,Collision with a fixed object,Wednesday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,262176,143.92582,-37.71097
3402445,T20130015280,ABS to receive accident,Finished,24/07/2013,10.30.00,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Day,No,Not at intersection,Other injury accident,80 km/hr,No,262323,145.21152,-37.98236
3402446,T20130015281,ABS to receive accident,Finished,24/07/2013,11.40.00,No,Collision with vehicle,Wednesday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,No,262324,145.6415,-35.91759
3402447,T20130015283,ABS to receive accident,Finished,22/07/2013,19.15.00,Yes,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),Yes,Dark Street lights on,No,Cross intersection,Other injury accident,80 km/hr,No,29784,144.92878,-37.64055
3402448,T20130015285,ABS to receive accident,Finished,24/07/2013,13.30.00,No,No collision and no object struck,Wednesday,OFF CARRIAGEWAY ON RIGHT BEND,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,262430,147.05776,-36.41325
3402449,T20130015287,ABS to receive accident,Finished,24/07/2013,15.10.00,No,Collision with vehicle,Wednesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,45402,144.92172,-37.78561
3402450,T20130015289,ABS to receive accident,Finished,24/07/2013,15.40.00,No,Collision with vehicle,Wednesday,LEFT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,45257,144.89777,-37.76963
3402451,T20130015292,ABS to receive accident,Finished,24/07/2013,16.58.00,No,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Not at intersection,Serious injury accident,70 km/hr,No,262102,144.68338,-37.87442
3402452,T20130015293,ABS to receive accident,Finished,24/07/2013,15.50.00,No,Collision with vehicle,Wednesday,RIGHT/LEFT. ONE VEH TURNING RIGHT THE OTHER LEFT.,No,Day,Yes,Cross intersection,Serious injury accident,60 km/hr,No,39959,144.85632,-37.83207
3402453,T20130015295,ABS to receive accident,Finished,24/07/2013,17.45.00,No,Collision with vehicle,Wednesday,LANE CHANGE RIGHT (NOT OVERTAKING),No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,60 km/hr,No,263720,145.09529,-37.81452
3402454,T20130015296,ABS to receive accident,Finished,24/07/2013,16.46.00,No,Collision with vehicle,Wednesday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,Yes,Day,Yes,Not at intersection,Serious injury accident,90 km/hr,No,262157,145.30096,-38.08522
3402455,T20130015297,ABS to receive accident,Finished,21/07/2013,16.00.00,Yes,Struck Pedestrian,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,No,Y intersection,Other injury accident,50 km/hr,No,37006,144.97615,-37.82309
3402456,T20130015298,ABS to receive accident,Finished,24/07/2013,16.40.00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,No,51098,145.35715,-36.39163
3402457,T20130015299,ABS to receive accident,Finished,24/07/2013,17.38.00,No,Collision with vehicle,Wednesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Dusk/Dawn,Yes,T intersection,Serious injury accident,70 km/hr,No,53376,144.73119,-36.15517
3402458,T20130015301,ABS to receive accident,Finished,24/07/2013,18.00.00,Yes,Collision with vehicle,Tuesday,RIGHT TURN SIDESWIPE,No,Dark Street lights on,Yes,T intersection,Serious injury accident,60 km/hr,No,29684,145.1209,-37.91906
3402459,T20130015302,ABS to receive accident,Finished,24/07/2013,08.15.00,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Day,No,Not at intersection,Other injury accident,50 km/hr,No,262326,144.91173,-37.75857
3402460,T20130015305,ABS to receive accident,Finished,24/07/2013,13.50.00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,100 km/hr,No,19446,144.15878,-36.80968
3402461,T20130015315,ABS to receive accident,Finished,24/07/2013,18.10.00,Yes,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),Yes,Dark Street lights on,Yes,T intersection,Serious injury accident,80 km/hr,No,57616,145.13647,-38.02222
3402462,T20130015318,ABS to receive accident,Finished,24/07/2013,22.00.00,Yes,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Dark Street lights on,Yes,Multiple intersection,Serious injury accident,70 km/hr,No,11041,145.02848,-37.68748
3402463,T20130015319,ABS to receive accident,Finished,24/07/2013,19.30.00,Yes,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Dark No street lights,Yes,Not at intersection,Serious injury accident,80 km/hr,No,263721,145.07027,-37.67552
3402464,T20130015322,ABS to receive accident,Finished,19/07/2013,20.10.00,Yes,Collision with vehicle,Friday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,No,Dark Street lights on,No,Not at intersection,Other injury accident,60 km/hr,No,263058,145.15393,-37.81893
3402465,T20130015326,ABS to receive accident,Finished,25/07/2013,02.11.00,Yes,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,T intersection,Other injury accident,40 km/hr,Yes,36928,144.96248,-37.8189
3402466,T20130015327,ABS to receive accident,Finished,25/07/2013,01.00.00,Yes,Collision with a fixed object,Thursday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,257718,143.86365,-36.88702
3402467,T20130015329,ABS to receive accident,Finished,25/07/2013,05.13.00,Yes,Collision with vehicle,Thursday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,50 km/hr,No,262103,144.94044,-37.64661
3402468,T20130015334,ABS to receive accident,Finished,22/07/2013,11.05.00,No,Collision with a fixed object,Monday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,80 km/hr,Yes,262278,145.11626,-38.3632
3402469,T20130015335,ABS to receive accident,Finished,25/07/2013,07.30.00,No,Collision with vehicle,Thursday,LANE CHANGE RIGHT (NOT OVERTAKING),No,Day,Yes,Not at intersection,Serious injury accident,70 km/hr,No,262335,144.95395,-37.65912
3402470,T20130015339,ABS to receive accident,Finished,25/07/2013,07.00.00,No,Collision with a fixed object,Thursday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,262250,146.40847,-38.60433
3402471,T20130015340,ABS to receive accident,Finished,25/07/2013,07.00.00,No,Collision with a fixed object,Thursday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,264382,144.97253,-37.09611
3402472,T20130015123,ABS to receive accident,Finished,22/07/2013,10.50.00,No,Struck Pedestrian,Monday,PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,No,229172,144.89509,-38.35843
3402473,T20130015125,ABS to receive accident,Finished,20/07/2013,10.45.00,No,Collision with vehicle,Saturday,RIGHT THROUGH,No,Day,No,Cross intersection,Other injury accident,60 km/hr,No,41313,145.03006,-37.88088
3402474,T20130015127,ABS to receive accident,Finished,21/07/2013,03.20.00,Yes,Collision with a fixed object,Sunday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,110 km/hr,Yes,262246,145.95385,-38.1684
3402475,T20130015129,ABS to receive accident,Finished,22/07/2013,15.00.00,No,Collision with vehicle,Monday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Day,Yes,T intersection,Serious injury accident,60 km/hr,No,262247,144.90888,-38.36367
3402476,T20130015130,ABS to receive accident,Finished,22/07/2013,14.29.00,No,Struck Pedestrian,Monday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,No,Day,Yes,Not at intersection,Serious injury accident,40 km/hr,No,262098,145.02824,-37.86301
3402477,T20130015131,ABS to receive accident,Finished,22/07/2013,12.00.00,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,40496,145.07625,-37.83363
3402478,T20130015132,ABS to receive accident,Finished,22/07/2013,11.05.00,No,Collision with vehicle,Monday,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,No,262267,144.90022,-37.53503
3402479,T20130015133,ABS to receive accident,Finished,22/07/2013,15.30.00,No,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Cross intersection,Other injury accident,40 km/hr,No,29420,144.96002,-37.81961
3402480,T20130015136,ABS to receive accident,Finished,22/07/2013,13.00.00,No,Vehicle overturned (no collision),Monday,OFF CARRIAGEWAY ON LEFT BEND,No,Day,Yes,Not at intersection,Serious injury accident,40 km/hr,Yes,262292,141.85576,-35.36914
3402481,T20130015137,ABS to receive accident,Finished,20/07/2013,21.00.00,Yes,Collision with vehicle,Friday,RIGHT NEAR (INTERSECTIONS ONLY),No,Dark Street lights on,Yes,T intersection,Other injury accident,70 km/hr,No,29392,145.08071,-37.76006
3402482,T20130015142,ABS to receive accident,Finished,10/07/2013,13.45.00,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Day,No,Cross intersection,Other injury accident,60 km/hr,No,29507,145.13391,-37.75961
3402483,T20130015144,ABS to receive accident,Finished,22/07/2013,16.30.00,No,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,T intersection,Other injury accident,60 km/hr,Yes,44575,144.92598,-37.69035
3402484,T20130015146,ABS to receive accident,Finished,22/07/2013,18.30.00,Yes,Struck Pedestrian,Monday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,Yes,Dusk/Dawn,No,Cross intersection,Other injury accident,Not known,No,157,144.9008,-37.79028
3402485,T20130015150,ABS to receive accident,Finished,22/07/2013,19.29.00,Yes,Collision with a fixed object,Monday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,60 km/hr,Yes,262003,144.34773,-38.07637
3402486,T20130015155,ABS to receive accident,Finished,22/07/2013,21.20.00,Yes,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Cross intersection,Serious injury accident,40 km/hr,No,29840,144.96182,-37.76886
3402487,T20130015156,ABS to receive accident,Finished,22/07/2013,17.10.00,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,37984,145.00694,-37.74943
3402488,T20130015157,ABS to receive accident,Finished,22/07/2013,21.40.00,Yes,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,50 km/hr,Yes,261968,144.67225,-37.88016
3402489,T20130015159,ABS to receive accident,Finished,22/07/2013,19.25.00,Yes,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Fatal accident,50 km/hr,Yes,262603,145.06435,-37.64582
3402490,T20130015160,ABS to receive accident,Finished,23/07/2013,00.10.00,Yes,Collision with vehicle,Monday,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),Yes,Dark Street lights unknown,No,T intersection,Other injury accident,60 km/hr,No,40738,145.13595,-37.87076
3402491,T20130015161,ABS to receive accident,Finished,22/07/2013,22.30.00,Yes,Struck Pedestrian,Monday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark Street lights unknown,Yes,T intersection,Other injury accident,40 km/hr,No,36647,144.99032,-37.79958
3402492,T20130015162,ABS to receive accident,Finished,22/07/2013,06.05.00,No,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,Yes,Dark Street lights on,Yes,T intersection,Serious injury accident,60 km/hr,No,1250,144.81054,-37.75832
3402493,T20130015164,ABS to receive accident,Finished,22/07/2013,23.20.00,Yes,Collision with a fixed object,Monday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,60 km/hr,Yes,263503,145.21187,-38.13921
3402494,T20130015166,ABS to receive accident,Finished,23/07/2013,02.10.00,Yes,Collision with a fixed object,Tuesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,261970,144.92796,-37.736
3402495,T20130015167,ABS to receive accident,Finished,21/07/2013,20.46.00,Yes,No collision and no object struck,Sunday,UNKNOWN-NO DETAILS ON MANOEUVRES OF ROAD-USERS IN ACCIDENT,No,Dark Street lights on,Yes,Unknown,Other injury accident,40 km/hr,No,261997,145.05306,-37.90781
3402496,T20130015171,ABS to receive accident,Finished,23/07/2013,07.10.00,No,Struck Pedestrian,Tuesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Cross intersection,Serious injury accident,60 km/hr,No,40603,145.09821,-37.83598
3402497,T20130015174,ABS to receive accident,Finished,22/07/2013,17.35.00,No,Collision with a fixed object,Monday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,261969,146.18202,-38.07621
3402498,T20130015544,ABS to receive accident,Finished,27/07/2013,15.21.00,Yes,Collision with a fixed object,Saturday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,Yes,51642,144.2828,-36.76346
3402499,T20130015546,ABS to receive accident,Finished,10/07/2013,10.30.00,No,Collision with vehicle,Wednesday,LANE CHANGE RIGHT (NOT OVERTAKING),No,Day,No,Cross intersection,Other injury accident,50 km/hr,No,17629,145.40076,-36.38128
3402500,T20130015551,ABS to receive accident,Finished,27/07/2013,19.05.00,Yes,Collision with vehicle,Saturday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,T intersection,Other injury accident,60 km/hr,No,29533,145.0272,-37.81721
3402501,T20130015552,ABS to receive accident,Finished,27/07/2013,18.00.00,Yes,Collision with vehicle,Friday,RIGHT REAR.,No,Dark Street lights on,Yes,T intersection,Other injury accident,60 km/hr,No,39816,145.30538,-37.81568
3402502,T20130015553,ABS to receive accident,Finished,27/07/2013,19.35.00,Yes,Collision with vehicle,Saturday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Not at intersection,Other injury accident,80 km/hr,No,262463,145.17113,-37.94617
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
