OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE
3401758,T20130013754,ABS to receive accident,Finished,2/07/2013,17.35.00,No,Collision with vehicle,Tuesday,RIGHT REAR.,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,60 km/hr,No,261637,145.07832,-37.70195
3401759,T20130013755,ABS to receive accident,Finished,2/07/2013,18.19.00,Yes,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Not at intersection,Other injury accident,80 km/hr,No,261532,144.89081,-37.82599
3401760,T20130013758,ABS to receive accident,Finished,2/07/2013,20.20.00,Yes,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,T intersection,Other injury accident,50 km/hr,Yes,54658,145.16073,-37.66936
3401761,T20130013760,ABS to receive accident,Finished,2/07/2013,13.30.00,No,Collision with vehicle,Tuesday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,No,Day,No,Not at intersection,Serious injury accident,40 km/hr,No,146162,144.96245,-37.8127
3401762,T20130013761,ABS to receive accident,Finished,2/07/2013,18.05.00,Yes,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Dark Street lights on,Yes,Cross intersection,Serious injury accident,60 km/hr,No,29595,144.99091,-37.86532
3401763,T20130013764,ABS to receive accident,Finished,2/07/2013,16.00.00,No,Collision with vehicle,Tuesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,38085,145.02855,-37.76635
3401764,T20130013769,ABS to receive accident,Finished,3/07/2013,00.54.00,Yes,No collision and no object struck,Wednesday,OFF CARRIAGEWAY TO LEFT,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,60 km/hr,Yes,262821,144.98377,-37.7916
3401765,T20130013770,ABS to receive accident,Finished,2/07/2013,10.50.00,No,Collision with vehicle,Tuesday,U TURN,No,Day,Yes,Not at intersection,Other injury accident,70 km/hr,No,261902,144.99429,-37.85819
3401766,T20130013772,ABS to receive accident,Finished,2/07/2013,12.45.00,No,Collision with vehicle,Tuesday,LANE CHANGE RIGHT (NOT OVERTAKING),No,Day,Yes,Not at intersection,Serious injury accident,80 km/hr,No,261552,145.17203,-37.83737
3401767,T20130013773,ABS to receive accident,Finished,3/07/2013,06.10.00,No,Struck animal,Wednesday,STRUCK ANIMAL,No,Dark No street lights,Yes,Not at intersection,Other injury accident,100 km/hr,No,261665,146.34621,-38.17277
3401768,T20130013776,ABS to receive accident,Finished,3/07/2013,08.35.00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,No,45372,144.91921,-37.7469
3401769,T20130013777,ABS to receive accident,Finished,3/07/2013,08.40.00,No,Collision with vehicle,Wednesday,LEFT TURN SIDESWIPE,No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,No,261640,144.98163,-37.85293
3401770,T20130013608,ABS to receive accident,Finished,1/07/2013,02.10.00,Yes,Collision with vehicle,Monday,RIGHT FAR (INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Multiple intersection,Serious injury accident,80 km/hr,No,226265,145.2121,-37.92536
